Station Display Name,Zone,Customer Category,Postal Code,EVSE Latitude and Longitude,Long,Lat
120 ENTRANCE / ACH MAIN,120 ENTRANCE,Hospitality,78704,"(30.235856, -97.741577)",-97.741577,30.235856
7700 PARMER / 7700 PARMER,7700 PARMER,Workplace,78729,"(30.460477, -97.750024)",-97.750024,30.460477
AISD PAC / AISD PAC #1,AISD PAC,Education,78723,"(30.305454, -97.702666)",-97.702666,30.305454
AISD PAC / AISD PAC #2,AISD PAC,Education,78723,"(30.30538, -97.702537)",-97.702537,30.30538
AISD PAC / AISD PAC #3,AISD PAC,Education,78723,"(30.305343, -97.702408)",-97.702408,30.305343
AISD PAC / AISD PAC #4,AISD PAC,Education,78723,"(30.305269, -97.702269)",-97.702269,30.305269
AISD PAC / AISD PAC #5,AISD PAC,Education,78723,"(30.305204, -97.702108)",-97.702108,30.305204
AMD GO GREEN / P100 FL4 OUTER,AMD GO GREEN,Workplace,78735,"(30.251635, -97.863914)",-97.863914,30.251635
AMD GO GREEN / P100 FLOOR 5,AMD GO GREEN,Workplace,78735,"(30.251499, -97.863984)",-97.863984,30.251499
ARBORETUM / N CAPITAL TX 1,ARBORETUM,Retail,78759,"(30.390246, -97.74825)",-97.74825,30.390246
AUSTIN / 400 - 1,AUSTIN,Workplace,78701,"(30.265028, -97.748448)",-97.748448,30.265028
AUSTIN / 400 - 2,AUSTIN,Workplace,78701,"(30.265052, -97.74844)",-97.74844,30.265052
AUSTIN / 400 - 3,AUSTIN,Workplace,78701,"(30.26505, -97.74849)",-97.74849,30.26505
AUSTIN / AUSTIN 200 1,AUSTIN,Workplace,78701,"(30.264423, -97.746071)",-97.746071,30.264423
AUSTIN / AUSTIN 200 2,AUSTIN,Workplace,78701,"(30.26445, -97.746142)",-97.746142,30.26445
AUSTIN / AUSTIN 200 3,AUSTIN,Workplace,78701,"(30.264505, -97.746067)",-97.746067,30.264505
AVIATION / DOA - CONRAC1,AVIATION,Parking,78719,"(30.204711, -97.666322)",-97.666322,30.204711
AVIATION / DOA - CONRAC2,AVIATION,Parking,78719,"(30.204655, -97.666451)",-97.666451,30.204655
AVIATION / LOT J NW,AVIATION,Municipal,78719,"(30.207439, -97.661026)",-97.661026,30.207439
AVIATION / LOT J SW,AVIATION,Municipal,78719,"(30.207559, -97.661039)",-97.661039,30.207559
AXO GROUP LLC / AUSTIN CHARGE,AXO GROUP LLC,Workplace,78702,"(30.266047, -97.733139)",-97.733139,30.266047
B-AUSTIN / STATION 1,B-AUSTIN,Multifamily,78745,"(30.206406, -97.807047)",-97.807047,30.206406
BRANDYWINE AUST / CAPITAL ST 1,BRANDYWINE AUST,Workplace,78746,"(30.280123, -97.824008)",-97.824008,30.280123
BRANDYWINE AUST / CAPITAL ST 2,BRANDYWINE AUST,Workplace,78746,"(30.280357, -97.824244)",-97.824244,30.280357
BRANDYWINE AUST / ENCINO GARAGE,BRANDYWINE AUST,Workplace,78735,"(30.243787, -97.843763)",-97.843763,30.243787
BRANDYWINE AUST / GARAGE P1-L2-G,BRANDYWINE AUST,Workplace,78746,"(30.244181, -97.806692)",-97.806692,30.244181
BRANDYWINE AUST / GARAGE P2-L2-GW,BRANDYWINE AUST,Workplace,78735,"(30.24609, -97.8046)",-97.8046,30.24609
BRANDYWINE AUST / SOUTHWEST ST1,BRANDYWINE AUST,Workplace,78735,"(30.244005, -97.845965)",-97.845965,30.244005
BRANDYWINE AUST / SOUTHWEST ST2,BRANDYWINE AUST,Workplace,78735,"(30.243945, -97.845952)",-97.845952,30.243945
CATHERINE / CATHERINE 1,CATHERINE,Multifamily,78704,"(30.259096, -97.747775)",-97.747775,30.259096
CATHERINE / CATHERINE 2,CATHERINE,Multifamily,78704,"(30.259099, -97.747754)",-97.747754,30.259099
CEDARHILLS-AE / CEDARHILL 1,CEDARHILLS-AE,Multifamily,78749,"(30.189638, -97.856428)",-97.856428,30.189638
CHAMPION OFFICE / EV #1,CHAMPION OFFICE,Workplace,78750,"(30.363141, -97.793613)",-97.793613,30.363141
CHAMPION OFFICE / EV #2,CHAMPION OFFICE,Workplace,78750,"(30.3632, -97.793703)",-97.793703,30.3632
CHEVY MAIN / AUTONATION MAIN,CHEVY MAIN,Retail,78759,"(30.409556, -97.745947)",-97.745947,30.409556
CLAY COOLEY / QUICK CHARGER 1,CLAY COOLEY,Retail,78745,"(30.206127, -97.758965)",-97.758965,30.206127
COA FACILITIES / ANIMAL SERVICE1,COA FACILITIES,Municipal,78702,"(30.251505, -97.688644)",-97.688644,30.251505
COA FACILITIES / ANIMAL SERVICE2,COA FACILITIES,Municipal,78702,"(30.251463, -97.688644)",-97.688644,30.251463
COA FACILITIES / CITY HALL STAT1,COA FACILITIES,Municipal,78701,"(30.264847, -97.746872)",-97.746872,30.264847
COA FACILITIES / CITY HALL STAT2,COA FACILITIES,Municipal,78701,"(30.264807, -97.746864)",-97.746864,30.264807
COA FACILITIES / CONVENTION CTR1,COA FACILITIES,Municipal,78701,"(30.26372, -97.742371)",-97.742371,30.26372
COA FACILITIES / CONVENTION CTR2,COA FACILITIES,Municipal,78701,"(30.2637, -97.742294)",-97.742294,30.2637
COA FACILITIES / CONVENTION CTR3,COA FACILITIES,Municipal,78701,"(30.263708, -97.742325)",-97.742325,30.263708
COA FACILITIES / CTECC EVSE1,COA FACILITIES,Municipal,78723,"(30.29914, -97.692227)",-97.692227,30.29914
COA FACILITIES / CTECC EVSE2,COA FACILITIES,Municipal,78723,"(30.299223, -97.692164)",-97.692164,30.299223
COA FACILITIES / HAMPTONLIBRARY1,COA FACILITIES,Municipal,78749,"(30.218, -97.854866)",-97.854866,30.218
COA FACILITIES / HAMPTONLIBRARY2,COA FACILITIES,Municipal,78749,"(30.217978, -97.854843)",-97.854843,30.217978
COA FACILITIES / HOWSONBRCHLIBR1,COA FACILITIES,Municipal,78703,"(30.298466, -97.767868)",-97.767868,30.298466
COA FACILITIES / HOWSONBRCHLIBR2,COA FACILITIES,Municipal,78703,"(30.29847, -97.767883)",-97.767883,30.29847
COA FACILITIES / KRAMER 01,COA FACILITIES,Municipal,78758,"(30.394697, -97.716885)",-97.716885,30.394697
COA FACILITIES / MACC STATION 1,COA FACILITIES,Municipal,78701,"(30.258428, -97.739549)",-97.739549,30.258428
COA FACILITIES / MACC STATION 2,COA FACILITIES,Municipal,78701,"(30.258439, -97.739541)",-97.739541,30.258439
COA FACILITIES / MILWOOD LIB 1,COA FACILITIES,Municipal,78727,"(30.422258, -97.716354)",-97.716354,30.422258
COA FACILITIES / MILWOOD LIB 2,COA FACILITIES,Municipal,78727,"(30.422272, -97.71637)",-97.71637,30.422272
COA FACILITIES / NWRECCENTER 1,COA FACILITIES,Municipal,78731,"(30.334032, -97.751503)",-97.751503,30.334032
COA FACILITIES / NWRECCENTER 2,COA FACILITIES,Municipal,78757,"(30.334009000000002, -97.751455)",-97.751455,30.334009000000002
COA FACILITIES / NWRECCENTER 3,COA FACILITIES,Municipal,78731,"(30.334024, -97.75148)",-97.75148,30.334024
COA FACILITIES / NWRECCENTER 4,COA FACILITIES,Municipal,78757,"(30.334006, -97.751429)",-97.751429,30.334006
COA FACILITIES / OTC 3FL PKGSTA1,COA FACILITIES,Municipal,78704,"(30.25704, -97.749207)",-97.749207,30.25704
COA FACILITIES / OTC 3FL PKGSTA2,COA FACILITIES,Municipal,78704,"(30.257099, -97.749138)",-97.749138,30.257099
COA FACILITIES / OTC 3FL PKGSTA3,COA FACILITIES,Municipal,78704,"(30.257202, -97.749107)",-97.749107,30.257202
COA FACILITIES / PALMER STATION1,COA FACILITIES,Municipal,78704,"(30.259241, -97.751763)",-97.751763,30.259241
COA FACILITIES / PALMER STATION2,COA FACILITIES,Municipal,78704,"(30.259294, -97.751762)",-97.751762,30.259294
COA FACILITIES / PALMER STATION3,COA FACILITIES,Municipal,78704,"(30.259266, -97.751841)",-97.751841,30.259266
COA FACILITIES / PUBDITTMAR1,COA FACILITIES,Parks and Recreation,78745,"(30.185047, -97.801982)",-97.801982,30.185047
COA FACILITIES / PUBDITTMAR2,COA FACILITIES,Parks and Recreation,78745,"(30.185047, -97.801928)",-97.801928,30.185047
COA FACILITIES / ROSEWOOD PARK 2,COA FACILITIES,Parks and Recreation,78702,"(30.271724, -97.713954)",-97.713954,30.271724
COA FACILITIES / ROSEWOODPARK1,COA FACILITIES,Parks and Recreation,78702,"(30.271822, -97.713966)",-97.713966,30.271822
COA FACILITIES / RUTHERFORDCAMP1,COA FACILITIES,Municipal,78754,"(30.336962, -97.680801)",-97.680801,30.336962
COA FACILITIES / RUTHERFORDCAMP2,COA FACILITIES,Municipal,78754,"(30.336996, -97.680779)",-97.680779,30.336996
COA FACILITIES / RUTHERFORDCAMP3,COA FACILITIES,Municipal,78754,"(30.337023, -97.680756)",-97.680756,30.337023
COA FACILITIES / TECHNICENTER1,COA FACILITIES,Municipal,78725,"(30.27771, -97.665237)",-97.665237,30.27771
COA FACILITIES / TECHNICENTER2,COA FACILITIES,Municipal,78725,"(30.277599, -97.665176)",-97.665176,30.277599
COA FACILITIES / TECHNICENTER3,COA FACILITIES,Municipal,78725,"(30.277645, -97.665192)",-97.665192,30.277645
COA FACILITIES / TLC  STATION 1,COA FACILITIES,Municipal,78704,"(30.258434, -97.752075)",-97.752075,30.258434
COA FACILITIES / TLC STATI0N 2,COA FACILITIES,Municipal,78704,"(30.258398, -97.751999)",-97.751999,30.258398
COA FACILITIES / WALNUTCREEKPRK1,COA FACILITIES,Parks and Recreation,78753,"(30.398497, -97.679832)",-97.679832,30.398497
COA FACILITIES / WALNUTCREEKPRK2,COA FACILITIES,Parks and Recreation,78753,"(30.398552, -97.679832)",-97.679832,30.398552
COA FACILITIES / ZILKER PARK PH1,COA FACILITIES,Parks and Recreation,78704,"(30.264322, -97.770737)",-97.770737,30.264322
COA FACILITIES / ZILKER PARK PH2,COA FACILITIES,Parks and Recreation,78704,"(30.264336, -97.770645)",-97.770645,30.264336
COA FACILITIES / ZILKERPARKPOLO1,COA FACILITIES,Parks and Recreation,78746,"(30.266584, -97.774925)",-97.774925,30.266584
COA FACILITIES / ZILKERPARKPOLO2,COA FACILITIES,Parks and Recreation,78746,"(30.266611, -97.774918)",-97.774918,30.266611
COA FLEET - PIE / BARTON #1,COA FLEET - PIE,Municipal,78704,"(30.258631, -97.74855)",-97.74855,30.258631
COA FLEET - PIE / BARTON #2,COA FLEET - PIE,Municipal,78704,"(30.258635, -97.748543)",-97.748543,30.258635
COA FLEET - PIE / BARTON #3,COA FLEET - PIE,Municipal,78704,"(30.258631, -97.748566)",-97.748566,30.258631
COA FLEET - PIE / BARTON #4,COA FLEET - PIE,Municipal,78704,"(30.258627, -97.748573)",-97.748573,30.258627
COA FLEET - PIE / ED BLUE #1,COA FLEET - PIE,Municipal,78725,"(30.277622, -97.666313)",-97.666313,30.277622
COA FLEET - PIE / ED BLUE #3,COA FLEET - PIE,Municipal,78725,"(30.277632, -97.666283)",-97.666283,30.277632
COA FLEET - PIE / FLOOR 4 ADA,COA FLEET - PIE,Municipal,78701,"(30.269745, -97.734467)",-97.734467,30.269745
COA FLEET - PIE / FLOOR4,COA FLEET - PIE,Municipal,78701,"(30.269112, -97.734062)",-97.734062,30.269112
COA FLEET - PIE / MEINARD #1,COA FLEET - PIE,Municipal,78744,"(30.211361, -97.752083)",-97.752083,30.211361
COA FLEET - PIE / MEINARD #2,COA FLEET - PIE,Municipal,78744,"(30.211357, -97.752083)",-97.752083,30.211357
COA FLEET - PIE / ROOF 1,COA FLEET - PIE,Municipal,78701,"(30.268921, -97.734787)",-97.734787,30.268921
COA FLEET - PIE / ROOF2,COA FLEET - PIE,Municipal,78701,"(30.268908, -97.734749)",-97.734749,30.268908
COA FLEET - PIE / ROOF3,COA FLEET - PIE,Municipal,78701,"(30.268894, -97.734703)",-97.734703,30.268894
COA FLEET - PIE / ROOF4,COA FLEET - PIE,Municipal,78701,"(30.268885, -97.734673)",-97.734673,30.268885
COA FLEET - PIE / ROOF5,COA FLEET - PIE,Municipal,78701,"(30.268883, -97.734665)",-97.734665,30.268883
COA FLEET - PIE / ROOF6,COA FLEET - PIE,Municipal,78701,"(30.268866, -97.734612)",-97.734612,30.268866
COA FLEET - PIE / RUTHERFORD #1,COA FLEET - PIE,Municipal,78754,"(30.335861, -97.679398)",-97.679398,30.335861
COA FLEET - PIE / RUTHERFORD #2,COA FLEET - PIE,Municipal,78754,"(30.335873, -97.679359)",-97.679359,30.335873
COA FLEET - PIE / RUTHERFORD #3,COA FLEET - PIE,Municipal,78754,"(30.335857, -97.679413)",-97.679413,30.335857
COA FLEET - PIE / RUTHERFORD #4,COA FLEET - PIE,Municipal,78754,"(30.335852, -97.679428)",-97.679428,30.335852
COA FLEET - PIE / RUTHERFORD #5,COA FLEET - PIE,Municipal,78754,"(30.335863, -97.679329)",-97.679329,30.335863
COA FLEET - PIE / RUTHERFORD #6,COA FLEET - PIE,Municipal,78754,"(30.335842, -97.679443)",-97.679443,30.335842
COA FLEET - PIE / RUTHERFORD #7,COA FLEET - PIE,Municipal,78754,"(30.335838, -97.679451)",-97.679451,30.335838
COA FLEET - PIE / RUTHERFORD #8,COA FLEET - PIE,Municipal,78754,"(30.335829, -97.679459)",-97.679459,30.335829
COA FLEET - PIE / RUTHERFORD #9,COA FLEET - PIE,Municipal,78754,"(30.335875, -97.679382)",-97.679382,30.335875
COA FLEET - PIE / SPRING #1,COA FLEET - PIE,Municipal,78702,"(30.259113, -97.699699)",-97.699699,30.259113
COA FLEET - PIE / SPRING #2,COA FLEET - PIE,Municipal,78702,"(30.259312, -97.699577)",-97.699577,30.259312
COA FLEET - PIE / TOOMEY #1,COA FLEET - PIE,Municipal,78704,"(30.263723, -97.759262)",-97.759262,30.263723
COA FLEET - PIE / TOOMEY #2,COA FLEET - PIE,Municipal,78704,"(30.263716, -97.759239)",-97.759239,30.263716
DEVLOPER / TRAMMELL CROW 1,DEVLOPER,Workplace,78701,"(30.265913, -97.749044)",-97.749044,30.265913
DEVLOPER / TRAMMELL CROW 2,DEVLOPER,Workplace,78701,"(30.265895, -97.749109)",-97.749109,30.265895
DEVLOPER / TRAMMELL CROW 3,DEVLOPER,Workplace,78701,"(30.265932, -97.749109)",-97.749109,30.265932
DEVLOPER / TRAMMELL CROW 4,DEVLOPER,Workplace,78701,"(30.265914, -97.749008)",-97.749008,30.265914
DEVLOPER / TRAMMELL CROW 6,DEVLOPER,Workplace,78701,"(30.265909, -97.748953)",-97.748953,30.265909
DEVLOPER / TRAMMELLCROW5,DEVLOPER,Workplace,78701,"(30.265885, -97.748891)",-97.748891,30.265885
DOMAINTOWER / DTLVL1 1,DOMAINTOWER,Workplace,78758,"(30.401181, -97.719499)",-97.719499,30.401181
ENDEAVOR REG / BLUE GARAGE #1,ENDEAVOR REG,Parking,78758,"(30.401174, -97.719445)",-97.719445,30.401174
ENDEAVOR REG / BLUE GARAGE #2,ENDEAVOR REG,Parking,78758,"(30.401844, -97.718785)",-97.718785,30.401844
ENDEAVOR REG / BLUE GARAGE #3,ENDEAVOR REG,Parking,78758,"(30.40175, -97.720173)",-97.720173,30.40175
ENDEAVOR REG / BLUE GARAGE #4,ENDEAVOR REG,Parking,78758,"(30.393684, -97.723166)",-97.723166,30.393684
ENDEAVOR REG / BLUE GARAGE #5,ENDEAVOR REG,Parking,78758,"(30.403697, -97.722512)",-97.722512,30.403697
ENDEAVOR REG / BLUE GARAGE #6,ENDEAVOR REG,Parking,78758,"(30.403745, -97.7225)",-97.7225,30.403745
ENDEAVOR REG / BLUE GARAGE #7,ENDEAVOR REG,Parking,78758,"(30.403779, -97.722489)",-97.722489,30.403779
ENDEAVOR REG / ENDEAVOR STAT1,ENDEAVOR REG,Parking,78702,"(30.403822, -97.722477)",-97.722477,30.403822
DOMAIN / LEFT STATION,DOMAIN,Parking,78758,"(30.403862, -97.72246)",-97.72246,30.403862
ENDEAVOR REG / NORDSTROM L1 #1,ENDEAVOR REG,Parking,78758,"(30.403736, -97.722504)",-97.722504,30.403736
ENDEAVOR REG / NORDSTROM L1 #2,ENDEAVOR REG,Parking,78758,"(30.403664, -97.722523)",-97.722523,30.403664
ENDEAVOR REG / NORDSTROM L1 #3,ENDEAVOR REG,Parking,78758,"(30.258756, -97.720097)",-97.720097,30.258756
ENDEAVOR REG / NORDSTROM L2 #1,ENDEAVOR REG,Parking,78758,"(30.401522, -97.720071)",-97.720071,30.401522
ENDEAVOR REG / NORDSTROM L2 #2,ENDEAVOR REG,Parking,78758,"(30.401589, -97.720053)",-97.720053,30.401589
ENDEAVOR REG / NORDSTROM L2 #3,ENDEAVOR REG,Parking,78758,"(30.401656, -97.720026)",-97.720026,30.401656
ENDEAVOR REG / PALM WAY #1,ENDEAVOR REG,Parking,78758,"(30.401517, -97.719927)",-97.719927,30.401517
ENDEAVOR REG / PALM WAY #2,ENDEAVOR REG,Parking,78758,"(30.40157, -97.719909)",-97.719909,30.40157
ENDEAVOR REG / PALM WAY #3,ENDEAVOR REG,Parking,78758,"(30.401619, -97.719889)",-97.719889,30.401619
ENDEAVOR REG / RED GARAGE #1,ENDEAVOR REG,Parking,78758,"(30.403636, -97.719927)",-97.719927,30.403636
ENDEAVOR REG / RED GARAGE #2,ENDEAVOR REG,Parking,78758,"(30.403631, -97.719901)",-97.719901,30.403631
ENDEAVOR REG / RED GARAGE #3,ENDEAVOR REG,Parking,78758,"(30.403626, -97.719878)",-97.719878,30.403626
ENDEAVOR REG / RED GARAGE #4,ENDEAVOR REG,Parking,78758,"(30.402172, -97.723338)",-97.723338,30.402172
DOMAIN / RIGHT STATION,DOMAIN,Parking,78758,"(30.402165, -97.723231)",-97.723231,30.402165
DOMAIN / STATION 1,DOMAIN,Parking,78758,"(30.402156, -97.723219)",-97.723219,30.402156
DOMAIN / STATION 2,DOMAIN,Parking,78758,"(30.402146, -97.72321)",-97.72321,30.402146
